"Propinsi","DT2","KotaKabupaten","Kecamatan","KodePos",
"Jawa Barat","Kab.","Indramayu","Widasari","45271",
"Banten","Kota","Cilegon","Cibeber","42422 - 42427",
"Banten","Kota","Cilegon","Cilegon","42415 - 42419",
"Banten","Kota","Cilegon","Citangkil","42441 - 42444",
"Banten","Kota","Cilegon","Ciwandan","42441 - 42447",
"Banten","Kota","Cilegon","Gerogol","42436 - 42438",
"Banten","Kota","Cilegon","Jombang","42411 - 42416",
"Banten","Kota","Cilegon","Pulomerak","42431 - 42439",
"Banten","Kota","Cilegon","Purwakarta","42431 - 42437",
"Banten","Kab.","Lebak","Banjarsari","42355",
"Banten","Kab.","Lebak","Bayah","42393",
"Banten","Kab.","Lebak","Bojongmanik","42363",
"Banten","Kab.","Lebak","Cibadak","42318 - 42357",
"Banten","Kab.","Lebak","Cibeber","42394",
"Banten","Kab.","Lebak","Cigemblong","42395",
"Banten","Kab.","Lebak","Cihara","42392",
"Banten","Kab.","Lebak","Cijaku","42395",
"Banten","Kab.","Lebak","Cikulur","42356",
"Banten","Kab.","Lebak","Cileles","42353",
"Banten","Kab.","Lebak","Cilograng","42393",
"Jawa Barat","Kab.","Bogor","Parung","16330",
"Jawa Barat","Kab.","Sukabumi","Parung Kuda","43357",
"Jawa Barat","Kab.","Bogor","Parung Panjang","16360",
"Jawa Barat","Kab.","Tasikmalaya","Parungponteng","46185",
"Jawa Barat","Kab.","Cirebon","Pasaleman","45187",
"Jawa Barat","Kab.","Kuningan","Pasawahan","45559",
"Jawa Barat","Kab.","Purwakarta","Pasawahan","41171 - 41172",
"Jawa Barat","Kab.","Bandung","Paseh","40383",
"Jawa Barat","Kab.","Sumedang","Paseh","45381",
"Jawa Barat","Kab.","Indramayu","Pasekan","45213 - 45229",
"Jawa Barat","Kab.","Bandung","Pasirjambu","40972",
"Jawa Barat","Kab.","Cianjur","Pasirkuda","43266 - 43267",
"Jawa Barat","Kab.","Garut","Pasirwangi","44161",
"Jawa Barat","Kota","Banjar","Pataruman","46316 - 46335",
"Jawa Barat","Kab.","Subang","Patokbeusi","41263",
"Jawa Barat","Kab.","Indramayu","Patrol","45257",
"Jawa Barat","Kab.","Bekasi","Pebayuran","17710",
"Jawa Barat","Kab.","Karawang","Pedes","41353",
