"NPP","NoUrut","TKPendidikan","Pendidikan","Nama","Kota","StatAkreditasi","DNLN","TahunAwal","TahunAkhir","StatLulus","NoIjasah","TglIjasah","Nilai","Grade","UserId","TglInput",
"01077860016664","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016665","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016666","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016667","01","1","1A00","SD                                       ","","0","5","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016668","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016670","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077861016671","01","1","1000","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077861016672","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","R","MIGRASI","07-05-2015 08:59:06",
"01077861016673","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077861016674","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077862016675","01","1","1A00","SD","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077862016676","01","2","2A00","SMP","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077862016676","02","3","3AC0","SMA","BANDUNG","0","D","2003","2004","L","10PC001505","01-01-1900 00:00:00","30,2","C","MIGRASI","07-05-2015 08:59:06",
"01077862016677","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077862016678","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077862016679","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077863016680","01","1","1A00","SD","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077863016681","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077863016682","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077960018062","01","1","1000","UMUM","BANDUNG","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077960018090","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077960018091","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077960018092","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077960018093","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077960018094","01","1","1000","UMUM","BANDUNG","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077961018096","01","2","2A00","SMP","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
