"Kodeunit","kdbeli","nofaktur","tglfaktur","tglkembali","jmlpak","jmlkg","nilai","mutasi","nilaibayar","Batal",
"29","L07107","FAK201801V00067","30/01/2018 0:00:00","08/02/2018 0:00:00","769","25,73","4812207,76","0","4812208","",
"29","L07107","FAK201801V00068","30/01/2018 0:00:00","08/02/2018 0:00:00","240","14,4","975480","0","975480","",
"29","L07107","FAK201801V00058","26/01/2018 0:00:00","26/01/2018 0:00:00","1531","103,96","16936867,83","0","2456422","",
"29","L07107","FAK201801V00043","22/01/2018 0:00:00","22/01/2018 0:00:00","3484","105,54","12671979,76","0","5235116","",
"29","L07107","FAK201801V00028","17/01/2018 0:00:00","19/01/2018 0:00:00","3469","93,31","17216287,2","0","1345207","",
"29","L07107","FAK201801V00022","16/01/2018 0:00:00","17/01/2018 0:00:00","75","3,75","177787,5","0","177788","",
"29","L07107","FAK201801V00005","09/01/2018 0:00:00","09/01/2018 0:00:00","2686","137,46","18059998,82","0","163000","",
"29","L07130","FAK201904V00249","11/04/2019 0:00:00","13/04/2019 0:00:00","64","16","839039,7","0","0","",
"29","L07130","FAK201904V00250","11/04/2019 0:00:00","13/04/2019 0:00:00","104","15,2","829918,69","0","0","",
"29","L07189","FAK201903V00162","06/03/2019 0:00:00","06/04/2019 0:00:00","9744","846,96","44402160","0","0","",
"29","L07189","FAK201901V00036","30/01/2019 0:00:00","01/03/2019 0:00:00","7800","660","34914000","0","0","",
"29","L07189","FAK201901V00037","30/01/2019 0:00:00","01/03/2019 0:00:00","23400","1920","91885200","0","0","",
"29","L07189","FAK201811V01090","30/11/2018 0:00:00","28/12/2018 0:00:00","13400","1010","51013600","0","0","",
"29","L07189","FAK201811V01015","14/11/2018 0:00:00","30/11/2018 0:00:00","9000","900","40590000","0","0","",
"29","L07189","FAK201809V00845","28/09/2018 0:00:00","30/11/2018 0:00:00","17720","1316","67547920","0","0","",
"29","L07189","FAK201809V00846","28/09/2018 0:00:00","30/11/2018 0:00:00","18900","1215","63716400","0","0","",
"29","L07189","FAK201806V00453","30/06/2018 0:00:00","27/08/2018 0:00:00","6240","254,4","22323840","0","0","",
"29","L00059","FAK201905V00380","17/05/2019 0:00:00","29/05/2019 0:00:00","240","12","1029600","0","0","",
"29","L00059","FAK201812V01180","27/12/2018 0:00:00","31/12/2018 0:00:00","336","15,12","2489279,76","0","0","",
"29","L00047","FAK201905V00381","31/05/2019 0:00:00","01/01/1900 0:00:00","960","59,52","10400649,6","0","0","",
"29","L00047","FAK201904V00275","16/04/2019 0:00:00","16/04/2019 0:00:00","528","31,2","5591044,8","0","0","",
